name,team,battingStyle,bowlingStyle,playingRole,image,description
Lalit Yadav,DC,Right hand Bat,Right arm Offbreak,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/538.png,
Jhye Richardson,DC,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/59.png,"A small man with a whippy, fast arm action and an ability to swing the ball at speeds of 140kph, Jhye Richardson provides a different trajectory in all three formats but his international career has been badly impacted by injury. An impressive start was halted by a dislocated shoulder during an ODI against Pakistan in the UAE during 2019 and ruled him out of World Cup and Ashes contention with further injury setbacks hitting his progress over the following years."
Washington Sundar,SRH,Left hand Bat,Right arm Offbreak,Bowling Allrounder,https://ipltable.in/wp-content/uploads/2024/03/image-31-700x700.jpeg,
Jhye Richardson,DC,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/59.png,"A small man with a whippy, fast arm action and an ability to swing the ball at speeds of 140kph, Jhye Richardson provides a different trajectory in all three formats but his international career has been badly impacted by injury. An impressive start was halted by a dislocated shoulder during an ODI against Pakistan in the UAE during 2019 and ruled him out of World Cup and Ashes contention with further injury setbacks hitting his progress over the following years."
Washington Sundar,SRH,Left hand Bat,Right arm Offbreak,Bowling Allrounder,https://ipltable.in/wp-content/uploads/2024/03/image-31-700x700.jpeg,
Kartik Tyagi,GT,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/536.png,
Shams Mulani,MI,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/600.png,
Luke Wood,MI,Left hand Bat,Left arm Fast medium,Bowler,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJwgocT9eKPFerfjlsweqio_kq7nWg9-lN-A&s,"Luke Wood, a left-arm fast bowler with the priceless ability to swing the ball back into right-handers, joined Lancashire at the end of the 2019 season in search of a more regular first-team place after spending time in and out of the Nottinghamshire side. "
Himanshu Sharma,RCB,Right hand Bat,Legbreak,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/1568.pnghttps://documents.iplt20.com/ipl/IPLHeadshot2024/1568.png,
Richard Gleeson,CSK,Right hand Bat,Right arm Fast medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/1219.png,"Richard Gleeson made his debut in international cricket at the age of 34 - and dismissed Rohit Sharma, Virat Kohli and Rishabh Pant within his first eight balls. It was the culmination of an extraordinary rise through the ranks: he was a late-bloomer, who made his first professional appearance aged 27 as a trialist at Northamptonshire, and had nearly quit the game altogether the previous winter due to injury."
Richard Gleeson,CSK,Right hand Bat,Right arm Fast medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/1219.png,"Richard Gleeson made his debut in international cricket at the age of 34 - and dismissed Rohit Sharma, Virat Kohli and Rishabh Pant within his first eight balls. It was the culmination of an extraordinary rise through the ranks: he was a late-bloomer, who made his first professional appearance aged 27 as a trialist at Northamptonshire, and had nearly quit the game altogether the previous winter due to injury."
Nathan Ellis,PBKS,Right hand Bat,Right arm Fast medium,Bowler,https://www.punjabkingsipl.in/static-assets/images/players/70324.png?v=6.18,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace."
Tom Kohler-Cadmore,RR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvIvH8ZTLcNT2GNTZw_ucJPoePunmD2Dmfpg&s,Tom Kohler-Cadmore had made a name for himself as a Wisden Schoolboy Cricketer of the Year and one of the most-talented young batsmen in the county game - but it was a court case involving a former team-mate that brought him unwanted attention from a wider audience. Revelations during the trial of Alex Hepburn about sexist messages exchanged on a WhatsApp group led to Kohler-Cadmore and Joe Clarke being stood down from Lions duty and threatened to overshadow the start of a promising career.
Mayank Agarawal,SRH,Right hand Bat,Right arm Offbreak,Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/55.png,"A prolific opening batsman since his Under-13 days with Bishop Cotton Boys' School, Bangalore, Mayank Agarwal modelled his style of batting on Virender Sehwag. Agarwal struck 432 runs at an average of 54 in five matches in the Under-19 Cooch Behar Trophy in 2008-09 and hit a match-winning 160 for India Under-19s, in a one-dayer against Australia Under-19s in Hobart in 2009."
Umran Malik,SRH,Right hand Bat,Right arm Fast,Bowler,https://images.mykhel.com/webp/images/cricket/players/5/14195.jpg,"Umran Malik burst onto the scene in 2021 when he clocked 150kph for Sunrisers Hyderabad on his IPL debut. A product of tennis-ball cricket, Malik did not even know there existed shoes with spikes for fast bowlers until he went for his first Under-19 trial. He had played just one List A match and one T20 when he joined SRH as a short-term Covid replacement for T Natarajan. He got his chance only after SRH were out of the race for the playoffs. He made an immediate impact and, despite playing just three games that season, was retained by SRH ahead of the IPL 2022 mega auction. "
Marco Jansen,SRH,Right hand Bat,Left arm Fast,Bowling Allrounder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlp_GmvVYvPpZZz5gMljYrIXSak4qdN4yJLA&s,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. "
Rishi Dhawan,PBKS,Right hand Bat,Right arm Medium fast,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/996.png,"Rishi Dhawan graduated from being an opening batsman in junior cricket to a seam-bowling allrounder, who largely relies on slow variations and cutters. His domestic performances for Himachal Pradesh, a bulk of which came in seamer-friendly conditions in Dharamsala, earned him an ODI debut during the limited-overs series in Australia in January 2016."
Shams Mulani,MI,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/600.png,
Rahul Tripathi,SRH,Right hand Bat,Right arm Medium,Top order Batter,https://images.mykhel.com/webp/images/cricket/players/8/11108.jpg,
Shivam Singh,PBKS,Right hand Bat,Right arm Offbreak,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/1936.png,
Jitesh Sharma(c),PBKS,Right hand Bat,,Wicketkeeper Batter,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzxFKbKQq_372zTqyvchz2uwSMMGA-qZbwLg&s,
Sanvir Singh,SRH,Right hand Bat,Right arm Medium,Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/1943.png,
Mukesh Choudhary,CSK,Left hand Bat,Left arm Medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2025/970.png,
Maheesh Theekshana,CSK,Right hand Bat,Right arm Offbreak,Bowler,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsQV3aoMMHYW209_Snr2mbxY-Af56HFCh90w&s,
Suyash Sharma,KKR,Right hand Bat,Legbreak Googly,Bowler,https://www.mumbaiindians.com/static-assets/images/players/large/action-shots/69659.png?v=5.08&w=400,
Arjun Tendulkar,MI,Left hand Bat,Left arm Medium fast,Bowler,https://www.mumbaiindians.com/static-assets/images/players/large/action-shots/69659.png?v=5.08&w=400,
Manav Suthar,GT,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://ipltable.in/wp-content/uploads/2024/03/image-81.jpeg,
Josh Little,GT,Right hand Bat,Left arm Fast medium,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/678.png,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase."
Manav Suthar,GT,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/2443.png,
Amit Mishra,LSG,Right hand Bat,Legbreak,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/107.png,"When he burst onto the scene in the early 2000s, Amit Mishra impressed with his classical, attacking legspin, relying mostly on flight and a big legbreak, while surprising batsmen with the odd googly. However, with two giant spinners - Anil Kumble and Harbhajan Singh - at the peak of their powers, there wasn't a place available for him in India's squad."
Suyash Prabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2024/598.png,
Manish Pandey,KKR,Right hand Bat,Right arm Medium,Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/16.png,"Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer."
KL Rahul,LSG,Right hand Bat,,Wicketkeeper Batter,https://www.lucknowsupergiants.in/static-assets/images/players/60122.png?v=12.64,
Nicholas Pooran(c),LSG,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/136.png,
Rahmanullah Gurbaz,KKR,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/641.png,
